date,observed,sd,fitted,se,death_type,age_grp,img_grp,spec_grp,race_grp,active_grp,upper,lower
2020-03-31,38.16117317840158,15.041189386976384,55.73514060179125,16.297597022111745,all_cause,45to84,all,all,all,all,87.67843076513027,23.791850438452233
2020-04-30,131.10479159699833,21.30680858392294,111.00590143910682,22.714891703879587,all_cause,45to84,all,all,all,all,155.5270891787108,66.48471369950283
2020-05-31,166.8353640634027,26.161581620445997,163.10663846965326,27.533742349316526,all_cause,45to84,all,all,all,all,217.07277347431364,109.14050346499288
2020-06-30,198.67361624062968,30.297665387078094,206.05300396918008,32.117579023357045,all_cause,45to84,all,all,all,all,269.0034588549599,143.10254908340028
2020-07-31,227.6411064683916,33.978155637621384,234.28547557402703,35.572828406514716,all_cause,45to84,all,all,all,all,304.0082192507959,164.56273189725817
2020-08-31,262.8648931894256,37.33124752174344,255.26994855065487,38.73426331507221,all_cause,45to84,all,all,all,all,331.1891046481964,179.35079245311334
2020-09-30,307.5976985148336,40.42504496468423,287.2821355707544,42.16473655548115,all_cause,45to84,all,all,all,all,369.92501921949747,204.63925192201134
2020-10-31,323.78044444445163,43.29586944703295,341.4734076246258,45.16897355906137,all_cause,45to84,all,all,all,all,430.0045958003861,252.9422194488655
2020-11-30,397.45652222584465,45.96598444045547,414.3170668348607,48.313704842031704,all_cause,45to84,all,all,all,all,509.0119283252429,319.6222053444786
2020-12-31,483.40845630520056,48.45532653434285,488.4223175590673,51.16335313410321,all_cause,45to84,all,all,all,all,588.7024897019096,388.14214541622505
2021-01-31,588.3924226832006,50.79238425707045,551.4689999348997,53.643768322834525,all_cause,45to84,all,all,all,all,656.6107858476553,446.327214022144
2021-02-28,590.5814790646822,53.01277580381458,601.3620787829958,56.22000693578967,all_cause,45to84,all,all,all,all,711.5532923771435,491.17086518884804
2021-03-31,625.2954620247306,55.145297775359595,641.6665415736011,58.412391298190144,all_cause,45to84,all,all,all,all,756.1548285180538,527.1782546291483
2021-04-30,684.6469543870198,57.21504014518646,673.3981727476574,60.53698083228133,all_cause,45to84,all,all,all,all,792.0506551789289,554.745690316386
2021-05-31,700.7798905637579,59.238195679880995,694.5677399090604,62.640567565926204,all_cause,45to84,all,all,all,all,817.3432523382758,571.792227479845
2021-06-30,694.1300987029495,61.22205087604132,704.924047448295,64.41578275482874,all_cause,45to84,all,all,all,all,831.1789816477593,578.6691132488307
2021-07-31,704.7869166748385,63.169569904407616,706.6750675682756,66.3495406306742,all_cause,45to84,all,all,all,all,836.7201672043971,576.6299679321542
2021-08-31,705.8673664632694,65.07924306125854,703.2371487461785,68.17009134444305,all_cause,45to84,all,all,all,all,836.8505277812869,569.62376971107
2021-09-30,699.5375141017241,66.94564147020257,695.0188549954188,69.75601285805952,all_cause,45to84,all,all,all,all,831.7406401972155,558.2970697936221
2021-10-31,686.6057755901846,68.76047017004927,679.55895146809,71.59959122361042,all_cause,45to84,all,all,all,all,819.8941502663664,539.2237526698135
2021-11-30,645.9748351138675,70.51599974146836,655.2941422296145,73.17669303834732,all_cause,45to84,all,all,all,all,798.7204605847753,511.86782387445373
2021-12-31,622.3066544088941,72.20845965021174,622.3066544088944,74.84729481438235,all_cause,45to84,all,all,all,all,769.0073522450838,475.60595657270494
